open,high,low,close,date,symbol
2184.74,2224.79,2168.29,2217.84,2025-03-05 20:00:00,ETH
2223.92,2246.42,2216.03,2241.38,2025-03-06 00:00:00,ETH
2242.3,2286.56,2238.56,2283.48,2025-03-06 04:00:00,ETH
2291.05,2317.43,2278.96,2285.81,2025-03-06 08:00:00,ETH
2284.96,2307.82,2281.01,2296.58,2025-03-06 12:00:00,ETH
2296.04,2296.04,2213.42,2253.68,2025-03-06 16:00:00,ETH
2257.87,2262.02,2183.06,2211.6,2025-03-06 20:00:00,ETH
2205.29,2224.73,2194.05,2202.32,2025-03-07 00:00:00,ETH
2201.04,2231.49,2104.64,2150.55,2025-03-07 04:00:00,ETH
2147.17,2191.06,2147.17,2185.27,2025-03-07 08:00:00,ETH
2190.37,2211.84,2180.61,2192.74,2025-03-07 12:00:00,ETH
2197.38,2244.58,2167.8,2209.77,2025-03-07 16:00:00,ETH
2206.96,2206.96,2147.52,2168.57,2025-03-07 20:00:00,ETH
2172.31,2183.08,2121.96,2140.75,2025-03-08 00:00:00,ETH
2139.37,2150.48,2114.1,2136.85,2025-03-08 04:00:00,ETH
2137.11,2152.1,2132.0,2134.66,2025-03-08 08:00:00,ETH
2140.34,2141.95,2127.16,2135.28,2025-03-08 12:00:00,ETH
2140.25,2190.15,2138.58,2181.58,2025-03-08 16:00:00,ETH
2181.51,2224.49,2163.94,2224.49,2025-03-08 20:00:00,ETH
2222.28,2223.18,2194.9,2200.0,2025-03-09 00:00:00,ETH
2201.42,2207.54,2176.61,2186.46,2025-03-09 04:00:00,ETH
2185.35,2191.55,2173.38,2182.5,2025-03-09 08:00:00,ETH
2184.46,2184.46,2133.82,2145.99,2025-03-09 12:00:00,ETH
2147.99,2147.99,2094.06,2094.06,2025-03-09 16:00:00,ETH
2095.23,2105.93,2014.24,2046.08,2025-03-09 20:00:00,ETH
2042.62,2050.66,2007.6,2017.27,2025-03-10 00:00:00,ETH
2017.28,2066.29,2001.26,2058.45,2025-03-10 04:00:00,ETH
2057.35,2075.49,2056.39,2072.58,2025-03-10 08:00:00,ETH
2074.04,2146.48,2044.35,2129.53,2025-03-10 12:00:00,ETH
2138.01,2138.01,2002.41,2026.67,2025-03-10 16:00:00,ETH
2019.75,2019.75,1829.01,1864.88,2025-03-10 20:00:00,ETH
1863.45,1896.06,1854.41,1879.12,2025-03-11 00:00:00,ETH
1867.87,1881.1,1791.23,1857.27,2025-03-11 04:00:00,ETH
1851.67,1902.59,1851.67,1902.59,2025-03-11 08:00:00,ETH
1902.88,1924.8,1902.88,1915.97,2025-03-11 12:00:00,ETH
1914.14,1918.58,1851.69,1915.81,2025-03-11 16:00:00,ETH
1914.5,1958.82,1890.44,1952.18,2025-03-11 20:00:00,ETH
1951.86,1951.86,1920.44,1921.31,2025-03-12 00:00:00,ETH
1925.1,1930.18,1873.55,1873.55,2025-03-12 04:00:00,ETH
1868.41,1914.71,1853.93,1914.71,2025-03-12 08:00:00,ETH
1913.56,1944.18,1884.26,1912.06,2025-03-12 12:00:00,ETH
1915.59,1934.44,1841.97,1865.22,2025-03-12 16:00:00,ETH
